Node,Max Depth (ft)
DN117935,0.37440869758867945
DN1180,0.07722825556732933
DN1181,0.07423312308282196
DN1182,0.0719485659677186
DN1183,0.03859221332089684
DN1184,0.02926908251475948
DN1185,0.018082581801025996
DN1186,0.012880417632857894
DN1187,0.04407239100174852
DN1190,0.0
DN120,1.062468624352432
DN1205,0.04648278528274226
DN1210,0.05019158622551548
DN121001,0.36587096730392643
DN121011,0.22167743482036117
DN121021,0.30558335701738015
DN121031,0.21556072917999308
DN121041,0.34820103126589197
DN121050,0.5970122435842853
DN121051,0.20118530532268902
DN1215,0.04743623426827799
DN1216,0.0480955133841105
DN1217,0.0
DN1218,0.0
DN1219,0.0
DN122,1.0158207291386314
DN1221,0.6067464131248962
DN1222,0.6109032697604132
DN1223,0.4570534609408155
DN1231,0.09133955928203308
DN1233,0.1015644796893007
DN1235,0.09920438009093438
DN1237,0.0760694492873449
DN1238,0.08105827251340571
DN1239,0.07237995997585303
DN1240,0.0689343070804513
DN124000,0.24098302405122762
DN124010,0.16359616841733754
DN124020,0.34394330133325723
DN124050,0.5861178087908334
DN124060,0.18366903352428787
DN124070,0.3535364287270196
DN124080,0.37630341662060873
DN124090,0.3219854324868541
DN124100,0.25775937673211646
DN124110,0.5471340245303657
DN125,0.8278017684588056
DN125001,4.12835636821184
DN1251,0.8204203527070009
DN1252,1.011032593812538
DN127400,0.32278101910268586
DN127401,0.3227822039367357
DN127402,0.32278387898275396
DN127403,0.2393679125839741
DN127410,0.24212272154951542
DN127411,0.31559911736061524
DN127412,0.315598984496687
DN127413,0.31559896067501025
DN127430,0.335176472969132
DN127431,0.3572422577760893
DN127432,0.34234003279623626
DN127440,0.32442333446607796
DN127441,0.3220131938473748
DN127442,0.3220127724853389
DN127443,0.27271167560855203
DN127450,2.101782656594264
DN127451,0.3229136287343595
DN127750,0.1826258315027654
DN127751,0.2258165799915544
DN127752,0.8111341326727342
DN127800,0.22867046804911254
DN127801,0.25886285913659646
DN127802,0.1439361871998815
DN127810,0.18913857975690834
DN127811,0.2278815889236525
DN127840,0.239510195389792
DN127841,0.2824107951905911
DN127842,0.2824107811457647
DN127843,1.402637711886455
DN127844,1.2670484577734187
DN127930,0.2248997014878959
DN127931,0.2139859638760721
DN127932,1.0735305869048593
DN127933,1.154739281718404
DN127934,0.7282371390867648
DN127935,1.0715540374658232
DN1305,7.312342442011731
DN1306,6.1145994188823956
DN1307,5.182833313262883
DN1308,4.100163426814954
DN1310,3.2801575181688127
DN1311,2.669574012247782
DN1312,2.5206843862129302
DN13121,2.3607539687630066
DN1313,2.6115016533179274
DN131310,0.7040580776250569
DN131320,0.9705343442635446
DN131330,0.5318800995705819
DN131340,0.8582877229871747
DN131350,0.4499934850927092
DN131360,0.9801252962491604
DN1314,2.5604744276848415
DN13141,2.629027584954306
DN13142,2.652835648882299
DN13143,2.456231250731494
DN13144,1.5933163434396014
DN1315,2.379086455482331
DN131510,0.10516798643163702
DN131511,0.32212054750381214
DN131520,0.10516798643163702
DN131521,0.3149641877593709
DN131530,0.4809278871476281
DN131531,0.40110433553654856
DN1316,2.211287240727862
DN1317,2.3489334473570604
DN131710,0.43698480020194885
DN131711,0.537599937561513
DN131720,0.2893115868209336
DN131730,0.3971051803821809
DN131740,0.25432606092205134
DN131741,0.40249524786951524
DN1320,1.7497945483162836
DN13201,0.9935063747121469
DN1325,0.8336755240319936
DN1330,0.3903305997396175
DN13301,0.37384091849018114
DN133010,0.4184477720755101
DN133020,0.3665621701418027
DN133030,0.6214911270043295
DN133040,0.5590810046953696
DN133050,0.3665621701418027
DN133060,0.31506185850180246
DN133070,0.4722470728200695
DN133080,0.4651969331935136
DN1335,1.819617837014691
DN1336,2.0122870207082917
DN1337,1.767261084636456
DN1385,21.632340825540314
DN1392,4.384948316306138
DN1393,4.748526522601995
DN1394,6.403141697272496
DN140,2.0072740357215446
DN1405,10.199101692347174
DN140811,0.2531233158950683
DN140821,0.4214698255530712
DN140830,0.6843810077555792
DN140841,0.29499847400398227
DN140851,0.38483598863592244
DN140861,0.3779564936104571
DN140871,0.41534375737122065
DN140881,0.3397324792680412
DN1410,7.244524988672576
DN1412,6.0655938473513356
DN1414,5.663410118641181
DN1415,4.964741397513558
DN14151,1.755070583742685
DN14152,1.1403267966692474
DN142,0.7782839889717519
DN142011,0.44334052169235105
DN142021,0.542179335182795
DN142031,0.5330407380129853
DN1423,5.048306570140377
DN1424,4.928114590247084
DN1425,4.790606144152624
DN1427,3.7675555037674684
DN1428,3.722478485598062
DN143,0.28025738698507474
DN1430,3.6571041431266007
DN143000,0.9513537037760111
DN143001,0.44746572487552855
DN143002,0.516666550968262
DN143003,0.39306151107728193
DN143003B,0.1983157259991008
DN143011,0.32216971676045547
DN143013,0.5396685127198833
DN143013B,0.2100465008056503
DN143021,0.3547331677987514
DN143022,0.5386600891018718
DN143023,0.6810022212436937
DN143023B,0.2740286102975231
DN1432,3.129466160774278
DN14321,3.473291450366622
DN14322,3.4596425390940304
DN14323,3.4529960495620804
DN14324,3.421510419425216
