Node,Full_Depth,Max_depth(SWMM),basement flooding
DN1106,13.01,0.02,0
DN1107,11.03,0.03,0
DN1108,13.49,0.02,0
DN1109,13.71,0.02,0
DN110997,50.0,0.51,0
DN110998,50.0,0.25,0
DN110999,50.0,0.3,0
DN1110,15.1,0.04,0
DN1111,13.25,0.04,0
DN1112,11.59,0.03,0
DN1113,11.42,0.03,0
DN1114,10.8,0.02,0
DN1120,16.08,0.07,0
DN1121,13.79,0.05,0
DN1122,13.57,0.04,0
DN1123,12.33,0.03,0
DN1124,9.98,0.03,0
DN1125,10.71,0.0,0
DN113,28.0,1.34,0
DN113060,50.0,1.08,0
DN113070,50.0,0.37,0
DN113080,50.0,1.13,0
DN113110,50.0,0.36,0
DN113120,50.0,0.59,0
DN113130,50.0,0.38,0
DN113140,50.0,0.53,0
DN113143B,50.0,0.71,0
DN113150,50.0,1.22,0
DN113160,50.0,1.3,0
DN113250,50.0,0.66,0
DN113350,50.0,0.45,0
DN113360,50.0,0.75,0
DN113370,50.0,0.92,0
DN114100,50.0,0.38,0
DN114151,50.0,0.72,0
DN114200,50.0,1.01,0
DN114251,50.0,0.68,0
DN114301,50.0,0.66,0
DN114321,50.0,0.55,0
DN114331,50.0,0.36,0
DN114340,50.0,0.8,0
DN114341,50.0,0.65,0
DN114350,50.0,0.72,0
DN114351,50.0,0.36,0
DN114361,50.0,0.34,0
DN114371,50.0,0.56,0
DN114401,50.0,0.46,0
DN114411,50.0,0.82,0
DN114421,50.0,0.54,0
DN114451,50.0,0.53,0
DN114471,50.0,0.55,0
DN114500,50.0,0.49,0
DN114501,50.0,0.55,0
DN114511,50.0,0.4,0
DN114521,50.0,0.62,0
DN114531,50.0,0.62,0
DN114550,50.0,0.73,0
DN114551,50.0,0.35,0
DN114561,50.0,0.61,0
DN114571,50.0,0.61,0
DN114581,50.0,0.6,0
DN114600,50.0,0.09,0
DN114601,50.0,0.34,0
DN114611,50.0,0.48,0
DN114651,50.0,0.24,0
DN114701,50.0,0.91,0
DN114710,50.0,0.28,0
DN114730,50.0,0.2,0
DN114740,50.0,0.31,0
DN114751,50.0,0.67,0
DN114770,50.0,0.25,0
DN114780,50.0,0.78,0
DN114800,50.0,0.76,0
DN114850,50.0,0.73,0
DN114901,50.0,0.77,0
DN114910,50.0,0.75,0
DN115,27.55,1.4,0
DN1151,27.31,1.01,0
DN1152,18.18,0.87,0
DN1153,17.6,0.77,0
DN1156,20.51,0.1,0
DN1157,18.29,0.05,0
DN1158,16.09,0.06,0
DN1159,14.35,0.05,0
DN1160,15.57,0.05,0
DN116050,50.0,0.53,0
DN116051,50.0,0.14,0
DN1161,14.42,0.04,0
DN1162,14.48,0.04,0
DN1163,13.82,0.04,0
DN1164,12.5,0.03,0
DN1165,11.52,0.02,0
DN1166,10.23,0.01,0
DN1172,14.27,0.01,0
DN1173,11.58,0.0,0
DN1174,15.93,0.03,0
DN117400,50.0,0.22,0
DN117404,50.0,0.1,0
DN117405,50.0,0.1,0
DN117406,50.0,0.47,0
DN117410,50.0,0.39,0
DN117430,50.0,0.0,0
DN117440,50.0,0.28,0
DN117441,50.0,0.2,0
DN117442,50.0,0.15,0
DN117443,50.0,0.36,0
DN117450,50.0,1.58,0
DN1175,14.87,0.08,0
DN1176,18.7,0.09,0
DN1177,19.1,0.09,0
DN117750,50.0,0.31,0
DN117751,50.0,0.5,0
DN117752,50.0,1.21,0
DN1178,16.67,0.08,0
DN117801,50.0,0.29,0
DN117802,50.0,0.43,0
DN117811,50.0,0.21,0
DN117812,50.0,0.6,0
DN117840,50.0,0.29,0
DN1179,17.61,0.08,0
DN117930,50.0,0.14,0
DN117931,50.0,0.14,0
DN117932,50.0,0.35,0
DN117933,50.0,0.35,0
DN117934,50.0,0.43,0
DN117935,50.0,0.37,0
DN1180,16.67,0.08,0
DN1181,15.62,0.07,0
DN1182,15.63,0.07,0
DN1183,13.76,0.04,0
DN1184,13.67,0.03,0
DN1185,13.03,0.02,0
DN1186,10.21,0.01,0
DN1187,29.37,0.04,0
DN1190,12.75,0.0,0
DN120,26.77,1.06,0
DN1205,13.3,0.05,0
DN1210,12.2,0.05,0
DN121001,50.0,0.37,0
DN121011,50.0,0.22,0
DN121021,50.0,0.31,0
DN121031,50.0,0.22,0
DN121041,50.0,0.35,0
DN121050,50.0,0.6,0
DN121051,50.0,0.2,0
DN1215,10.7,0.05,0
DN1216,12.5,0.05,0
DN1217,11.78,0.0,0
DN1218,12.45,0.0,0
DN1219,10.66,0.0,0
DN122,19.71,1.02,0
DN1221,14.0,0.61,0
DN1222,13.5,0.61,0
DN1223,14.0,0.46,0
DN1231,14.81,0.09,0
DN1233,14.24,0.1,0
DN1235,13.36,0.1,0
DN1237,13.34,0.08,0
DN1238,8.4,0.08,0
DN1239,8.21,0.07,0
DN1240,8.55,0.07,0
DN124000,50.0,0.24,0
DN124010,50.0,0.16,0
DN124020,50.0,0.34,0
DN124050,50.0,0.59,0
DN124060,50.0,0.18,0
DN124070,50.0,0.35,0
DN124080,50.0,0.38,0
DN124090,50.0,0.32,0
DN124100,50.0,0.26,0
DN124110,50.0,0.55,0
DN125,18.24,0.83,0
DN125001,50.0,4.13,0
DN1251,17.18,0.82,0
DN1252,16.99,1.01,0
DN127400,50.0,0.32,0
DN127401,50.0,0.32,0
DN127402,50.0,0.32,0
DN127403,50.0,0.24,0
DN127410,50.0,0.24,0
DN127411,50.0,0.32,0
DN127412,50.0,0.32,0
DN127413,50.0,0.32,0
DN127430,50.0,0.34,0
DN127431,50.0,0.36,0
DN127432,50.0,0.34,0
DN127440,50.0,0.32,0
DN127441,50.0,0.32,0
DN127442,50.0,0.32,0
DN127443,50.0,0.27,0
DN127450,50.0,2.1,0
DN127451,50.0,0.32,0
DN127750,50.0,0.18,0
DN127751,50.0,0.23,0
DN127752,50.0,0.81,0
DN127800,50.0,0.23,0
DN127801,50.0,0.26,0
DN127802,50.0,0.14,0
DN127810,50.0,0.19,0
DN127811,50.0,0.23,0
DN127840,50.0,0.24,0
DN127841,50.0,0.28,0
DN127842,50.0,0.28,0
DN127843,50.0,1.4,0
DN127844,50.0,1.27,0
DN127930,50.0,0.22,0
DN127931,50.0,0.21,0
DN127932,50.0,1.07,0
DN127933,50.0,1.15,0
DN127934,50.0,0.73,0
DN127935,50.0,1.07,0
DN1305,25.07,7.31,0
DN1306,24.8,6.12,0
DN1307,28.5,5.18,0
DN1308,28.6,4.1,0
DN1310,31.1,3.28,0
DN1311,26.5,2.67,0
DN1312,21.36,2.52,0
DN13121,18.73,2.36,0
DN1313,23.7,2.61,0
DN131310,50.0,0.7,0
DN131320,50.0,0.97,0
DN131330,50.0,0.53,0
DN131340,50.0,0.86,0
